ts,u,i,label,idx
352143,1,6,u0_i5,681
352466,1,1,u0_i0,682
353079,1,6,u0_i5,683
353399,1,1,u0_i0,684
353992,1,5,u0_i4,685
354315,1,1,u0_i0,686
354822,1,2,u0_i1,687
355150,1,1,u0_i0,688
355627,1,2,u0_i1,689
355949,1,1,u0_i0,690
356336,1,6,u0_i5,691
356660,1,1,u0_i0,692
357112,1,3,u0_i2,693
357436,1,1,u0_i0,694
357896,1,4,u0_i3,695
358220,1,1,u0_i0,696
358760,1,2,u0_i1,697
359085,1,1,u0_i0,698
359674,1,4,u0_i3,699
359998,1,1,u0_i0,700
360589,1,3,u0_i2,701
360915,1,1,u0_i0,702
361402,1,2,u0_i1,703
361726,1,1,u0_i0,704
362148,1,5,u0_i4,705
362471,1,1,u0_i0,706
362931,1,6,u0_i5,707
363255,1,1,u0_i0,708
363663,1,6,u0_i5,709
363984,1,1,u0_i0,710
364496,1,5,u0_i4,711
364819,1,1,u0_i0,712
365447,1,3,u0_i2,713
365770,1,1,u0_i0,714
366251,1,4,u0_i3,715
366574,1,1,u0_i0,716
367143,1,6,u0_i5,717
367467,1,1,u0_i0,718
367869,1,2,u0_i1,719
368192,1,1,u0_i0,720
368660,1,2,u0_i1,721
368980,1,1,u0_i0,722
369488,1,3,u0_i2,723
369811,1,1,u0_i0,724
370233,1,3,u0_i2,725
370552,1,1,u0_i0,726
371156,1,5,u0_i4,727
371480,1,1,u0_i0,728
371976,1,6,u0_i5,729
372300,1,1,u0_i0,730
373587,1,4,u0_i3,731
373910,1,1,u0_i0,732
374332,1,4,u0_i3,733
374651,1,1,u0_i0,734
375103,1,2,u0_i1,735
375427,1,1,u0_i0,736
375856,1,6,u0_i5,737
376180,1,1,u0_i0,738
376575,1,3,u0_i2,739
376901,1,1,u0_i0,740
377292,1,4,u0_i3,741
377615,1,1,u0_i0,742
377998,1,6,u0_i5,743
378322,1,1,u0_i0,744
378747,1,2,u0_i1,745
379074,1,1,u0_i0,746
379526,1,4,u0_i3,747
379850,1,1,u0_i0,748
380252,1,6,u0_i5,749
380576,1,1,u0_i0,750
381036,1,3,u0_i2,751
381359,1,1,u0_i0,752
381753,1,3,u0_i2,753
382073,1,1,u0_i0,754
382463,1,4,u0_i3,755
382787,1,1,u0_i0,756
383355,1,5,u0_i4,757
383680,1,1,u0_i0,758
384078,1,2,u0_i1,759
384402,1,1,u0_i0,760
384971,1,6,u0_i5,761
385295,1,1,u0_i0,762
385805,1,2,u0_i1,763
386130,1,1,u0_i0,764
386714,1,3,u0_i2,765
387038,1,1,u0_i0,766
387487,1,5,u0_i4,767
387810,1,1,u0_i0,768
388191,1,2,u0_i1,769
388516,1,1,u0_i0,770
389058,1,5,u0_i4,771
389382,1,1,u0_i0,772
389892,1,5,u0_i4,773
390213,1,1,u0_i0,774
390767,1,5,u0_i4,775
391087,1,1,u0_i0,776
391536,1,5,u0_i4,777
391859,1,1,u0_i0,778
392374,1,3,u0_i2,779
392697,1,1,u0_i0,780
393091,1,5,u0_i4,781
393415,1,1,u0_i0,782
393875,1,5,u0_i4,783
394195,1,1,u0_i0,784
394758,1,2,u0_i1,785
395084,1,1,u0_i0,786
395494,1,4,u0_i3,787
395817,1,1,u0_i0,788
396317,1,6,u0_i5,789
396640,1,1,u0_i0,790
397218,1,5,u0_i4,791
397545,1,1,u0_i0,792
397936,1,2,u0_i1,793
398263,1,1,u0_i0,794
398663,1,5,u0_i4,795
398988,1,1,u0_i0,796
399602,1,5,u0_i4,797
399924,1,1,u0_i0,798
400334,1,5,u0_i4,799
400654,1,1,u0_i0,800
401060,1,2,u0_i1,801
401383,1,1,u0_i0,802
401921,1,3,u0_i2,803
402245,1,1,u0_i0,804
402787,1,5,u0_i4,805
403111,1,1,u0_i0,806
403634,1,5,u0_i4,807
403953,1,1,u0_i0,808
404390,1,5,u0_i4,809
404710,1,1,u0_i0,810
405330,1,6,u0_i5,811
405654,1,1,u0_i0,812
406053,1,3,u0_i2,813
406379,1,1,u0_i0,814
406847,1,5,u0_i4,815
407171,1,1,u0_i0,816
407698,1,5,u0_i4,817
408018,1,1,u0_i0,818
408486,1,3,u0_i2,819
408809,1,1,u0_i0,820
409209,1,5,u0_i4,821
409534,1,1,u0_i0,822
409963,1,3,u0_i2,823
410287,1,1,u0_i0,824
410802,1,3,u0_i2,825
411122,1,1,u0_i0,826
411660,1,4,u0_i3,827
411984,1,1,u0_i0,828
412398,1,5,u0_i4,829
412725,1,1,u0_i0,830
413127,1,3,u0_i2,831
413450,1,1,u0_i0,832
413887,1,4,u0_i3,833
414211,1,1,u0_i0,834
414613,1,4,u0_i3,835
414936,1,1,u0_i0,836
415339,1,2,u0_i1,837
415666,1,1,u0_i0,838
416239,1,3,u0_i2,839
416563,1,1,u0_i0,840
417089,1,6,u0_i5,841
417413,1,1,u0_i0,842
417898,1,5,u0_i4,843
418224,1,1,u0_i0,844
418792,1,4,u0_i3,845
419117,1,1,u0_i0,846
419659,1,2,u0_i1,847
419983,1,1,u0_i0,848
420595,1,2,u0_i1,849
420915,1,1,u0_i0,850
421360,1,5,u0_i4,851
