Value,Consecutive Count,onset
0,1845,2970432
5,1306,2972277
0,1953,2973583
5,1291,2975536
0,1546,2976827
3,1293,2978373
0,2239,2979666
1,1304,2981905
0,1848,2983209
1,1287,2985057
0,1828,2986344
3,1293,2988172
0,2057,2989465
1,1296,2991522
0,2065,2992818
2,1307,2994883
0,1753,2996190
2,1288,2997943
0,1677,2999231
5,1303,3000908
0,2449,3002211
5,1280,3004660
0,2231,3005940
1,1294,3008171
0,1873,3009465
1,1279,3011338
0,1513,3012617
2,1296,3014130
0,2216,3015426
4,1294,3017642
0,2061,3018936
3,1292,3020997
0,1799,3022289
3,1290,3024088
0,2265,3025378
4,1292,3027643
0,2090,3028935
4,1279,3031025
0,2154,3032304
1,1294,3034458
0,2012,3035752
2,1297,3037764
0,1604,3039061
