Target,Neibour,neibour_inverse,Neibour-start,start_inverse,Neibour-end,end_inverse,Score
1,3,1,0,1,0,1,57
4,1,1,-4,0,-4,0,57
1,0,0,4,0,1,0,57
3,-2,0,0,0,2,0,57
7,-2,1,1,0,1,0,57
1,0,0,1,0,1,1,57
10,2,0,2,1,2,1,57
2,1,0,1,0,1,0,56
10,3,1,0,0,-2,0,56
1,2,1,1,1,1,1,56
5,-2,1,-1,1,-1,1,56
2,1,1,1,1,1,1,56
9,1,0,2,0,2,0,56
5,0,1,0,1,-4,0,56
3,1,1,-3,0,-3,0,55
7,-1,0,0,0,2,0,55
7,0,1,1,0,1,0,55
6,-1,1,-3,0,-3,0,55
6,0,1,0,0,-4,1,55
2,2,1,-3,0,-3,0,55
5,0,0,0,0,-2,0,55
1,0,1,0,0,3,0,55
6,-1,1,-2,1,-2,1,54
1,3,0,-3,1,0,1,54
1,4,1,0,0,-4,1,54
8,1,0,-1,0,-2,1,54
2,2,1,0,0,-1,0,54
2,2,1,0,1,-2,1,53
6,0,0,0,0,-4,0,53
4,0,1,-3,0,-3,0,53
5,-2,1,1,1,1,1,53
9,2,1,-3,1,-3,1,53
6,-2,0,-1,1,-1,1,53
3,1,1,0,1,-2,1,53
4,0,1,1,0,1,0,53
2,0,0,0,0,-1,1,53
8,0,0,-2,0,-2,0,52
5,0,0,-3,1,0,0,52
5,-3,0,1,0,1,1,52
2,2,0,0,0,-2,0,52
5,-3,0,0,0,0,1,51
6,0,1,0,0,-3,0,51
4,-1,1,2,1,2,1,51
7,1,1,-4,0,-4,0,51
6,0,1,-2,1,-4,0,51
7,1,0,0,0,-4,1,51
10,1,1,1,0,1,0,51
3,1,1,1,0,1,0,50
8,0,1,1,0,1,0,50
4,-3,1,2,0,2,0,50
6,0,0,-1,0,-3,0,50
7,0,1,-3,1,0,1,50
9,3,1,-3,1,-3,1,50
6,-2,0,0,0,2,0,50
8,-1,1,0,0,3,0,49
5,0,1,0,0,0,1,49
2,1,0,1,1,1,1,49
8,1,1,-3,0,-3,0,49
1,4,1,-1,0,-2,0,49
10,2,1,-2,0,-2,0,48
1,0,0,0,1,3,1,48
8,-2,0,2,0,2,0,48
3,2,0,-2,1,-2,1,48
1,0,0,2,1,2,1,48
