Value,First Occurrence Position
0,"(1605535, 0)"
2,"(1607685, 0)"
0,"(1608982, 0)"
4,"(1611149, 0)"
0,"(1612445, 0)"
4,"(1614537, 0)"
0,"(1615815, 0)"
4,"(1617561, 0)"
0,"(1618841, 0)"
5,"(1621323, 0)"
0,"(1622617, 0)"
2,"(1624215, 0)"
0,"(1625518, 0)"
4,"(1627389, 0)"
0,"(1628686, 0)"
4,"(1630793, 0)"
0,"(1632072, 0)"
2,"(1633944, 0)"
0,"(1635239, 0)"
4,"(1636836, 0)"
0,"(1638139, 0)"
2,"(1639855, 0)"
0,"(1641151, 0)"
2,"(1643209, 0)"
0,"(1644489, 0)"
3,"(1646642, 0)"
0,"(1647936, 0)"
4,"(1649593, 0)"
0,"(1650901, 0)"
2,"(1652510, 0)"
0,"(1653803, 0)"
3,"(1655549, 0)"
0,"(1656844, 0)"
3,"(1658455, 0)"
0,"(1659746, 0)"
1,"(1661358, 0)"
0,"(1662665, 0)"
2,"(1664956, 0)"
0,"(1666252, 0)"
5,"(1668359, 0)"
0,"(1669652, 0)"
4,"(1671593, 0)"
0,"(1672898, 0)"
3,"(1675168, 0)"
0,"(1676470, 0)"
1,"(1678639, 0)"
0,"(1679935, 0)"
1,"(1682383, 0)"
0,"(1683663, 0)"
4,"(1685440, 0)"
0,"(1686736, 0)"
4,"(1688732, 0)"
0,"(1690013, 0)"
2,"(1691919, 0)"
0,"(1693226, 0)"
4,"(1694773, 0)"
0,"(1696065, 0)"
3,"(1698004, 0)"
0,"(1699294, 0)"
1,"(1701417, 0)"
0,"(1702712, 0)"
4,"(1704535, 0)"
0,"(1705831, 0)"
1,"(1708033, 0)"
0,"(1709326, 0)"
1,"(1710966, 0)"
0,"(1712244, 0)"
3,"(1713763, 0)"
0,"(1715067, 0)"
4,"(1717235, 0)"
0,"(1718530, 0)"
1,"(1720575, 0)"
0,"(1721870, 0)"
1,"(1724008, 0)"
0,"(1725285, 0)"
1,"(1726923, 0)"
0,"(1728202, 0)"
1,"(1729856, 0)"
0,"(1731136, 0)"
2,"(1732843, 0)"
0,"(1734147, 0)"
2,"(1735971, 0)"
0,"(1737252, 0)"
5,"(1739014, 0)"
0,"(1740309, 0)"
3,"(1742523, 0)"
0,"(1743819, 0)"
2,"(1745504, 0)"
0,"(1746798, 0)"
5,"(1748390, 0)"
0,"(1749685, 0)"
3,"(1751901, 0)"
0,"(1753194, 0)"
1,"(1755020, 0)"
0,"(1756315, 0)"
5,"(1758457, 0)"
0,"(1759762, 0)"
2,"(1761447, 0)"
0,"(1762743, 0)"
1,"(1764647, 0)"
0,"(1765941, 0)"
3,"(1768140, 0)"
0,"(1769437, 0)"
3,"(1771932, 0)"
0,"(1773212, 0)"
1,"(1775334, 0)"
0,"(1776627, 0)"
1,"(1778518, 0)"
0,"(1779795, 0)"
5,"(1782061, 0)"
0,"(1783352, 0)"
4,"(1785209, 0)"
0,"(1786502, 0)"
3,"(1788316, 0)"
0,"(1789609, 0)"
3,"(1791949, 0)"
0,"(1793227, 0)"
2,"(1795066, 0)"
0,"(1796362, 0)"
3,"(1798328, 0)"
0,"(1799623, 0)"
3,"(1801495, 0)"
0,"(1802775, 0)"
3,"(1805030, 0)"
0,"(1806315, 0)"
1,"(1808250, 0)"
0,"(1809546, 0)"
2,"(1811077, 0)"
0,"(1812369, 0)"
4,"(1814193, 0)"
0,"(1815488, 0)"
5,"(1817959, 0)"
0,"(1819250, 0)"
2,"(1821220, 0)"
0,"(1822525, 0)"
4,"(1824802, 0)"
0,"(1826097, 0)"
4,"(1828351, 0)"
0,"(1829638, 0)"
4,"(1831248, 0)"
0,"(1832525, 0)"
2,"(1834490, 0)"
0,"(1835786, 0)"
5,"(1837395, 0)"
0,"(1838687, 0)"
1,"(1840373, 0)"
0,"(1841668, 0)"
5,"(1843837, 0)"
0,"(1845131, 0)"
4,"(1847160, 0)"
0,"(1848454, 0)"
5,"(1850108, 0)"
0,"(1851402, 0)"
4,"(1853449, 0)"
0,"(1854755, 0)"
5,"(1856301, 0)"
0,"(1857597, 0)"
1,"(1859857, 0)"
0,"(1861153, 0)"
2,"(1863182, 0)"
0,"(1864475, 0)"
2,"(1866534, 0)"
0,"(1867815, 0)"
1,"(1869734, 0)"
0,"(1871028, 0)"
1,"(1872796, 0)"
0,"(1874086, 0)"
4,"(1876522, 0)"
0,"(1877815, 0)"
1,"(1880260, 0)"
0,"(1881574, 0)"
4,"(1884008, 0)"
0,"(1885304, 0)"
3,"(1887395, 0)"
0,"(1888688, 0)"
4,"(1890454, 0)"
0,"(1891746, 0)"
1,"(1893478, 0)"
0,"(1894773, 0)"
4,"(1897049, 0)"
0,"(1898344, 0)"
4,"(1900584, 0)"
0,"(1901871, 0)"
2,"(1903808, 0)"
0,"(1905100, 0)"
2,"(1907427, 0)"
0,"(1908720, 0)"
4,"(1911045, 0)"
0,"(1912339, 0)"
3,"(1914704, 0)"
0,"(1916006, 0)"
