Neibour,neibour_inverse,Neibour-start,start_inverse,Neibour-end,end_inverse,Score
1,1,0,0,-2,0,19
-1,0,0,1,-2,1,19
2,1,-1,1,-4,0,19
-1,0,0,0,1,1,19
-2,1,2,0,2,1,18
1,0,3,0,3,0,18
0,0,0,1,-1,0,18
-1,0,1,0,1,1,18
-3,0,4,0,4,1,18
-4,0,3,1,3,1,18
0,0,1,1,1,0,18
3,1,-2,1,1,1,18
0,0,-2,0,1,1,18
0,0,1,1,3,0,18
1,0,1,0,-2,0,18
-4,1,0,0,4,0,18
-4,1,1,0,1,0,18
-3,0,4,0,2,1,18
1,0,-2,1,-4,0,18
0,0,2,0,-1,1,17
1,0,-4,1,-1,0,17
1,0,-3,1,-2,1,17
0,0,-4,0,-3,0,17
0,0,-4,0,-3,1,17
1,0,0,0,-1,1,17
3,0,-1,0,-2,0,17
-4,0,1,0,1,0,17
0,0,-4,1,-3,1,17
0,1,-1,1,2,1,16
0,0,2,0,1,1,16
-2,1,-1,1,2,1,16
2,0,0,0,-2,1,16
0,0,-2,0,-4,1,16
-4,0,0,0,0,1,16
-4,0,0,0,4,0,16
3,1,-3,1,-2,1,16
3,1,0,0,-3,0,16
-2,1,0,0,1,1,15
3,0,-3,1,0,0,15
-1,0,1,1,0,1,15
-1,0,0,0,-3,1,15
2,0,0,0,-3,0,15
0,0,2,1,0,1,15
-1,0,-1,0,-2,1,15
3,0,1,0,-1,0,15
0,0,2,0,1,0,15
0,0,2,0,0,1,15
3,0,0,0,-2,1,15
-3,1,2,0,2,1,15
1,1,-3,1,0,1,15
0,0,-2,0,2,0,15
1,1,-2,1,-4,0,15
2,0,0,0,2,0,14
-1,1,0,0,2,0,14
-4,1,0,0,3,1,14
0,0,1,0,4,0,14
0,1,-3,1,0,0,14
2,0,-2,1,1,1,14
4,0,-4,1,-1,0,14
3,0,-2,1,1,1,14
3,1,1,0,-2,0,14
-3,1,1,0,1,1,14
0,0,0,1,1,1,14
2,1,-3,1,0,1,14
-2,0,1,0,-1,1,14
-3,0,0,1,0,0,14
0,0,2,0,-2,1,14
0,0,-4,0,-4,1,14
0,0,3,0,0,0,14
-2,0,1,1,0,1,13
2,0,1,0,-1,0,13
3,0,0,0,-1,1,13
2,0,2,1,-1,0,13
-2,0,-2,1,-2,0,13
-2,0,1,0,2,1,13
-3,1,4,0,2,1,13
2,0,-2,1,-4,0,13
3,1,0,1,-2,1,13
-1,0,-1,0,-2,0,13
-1,1,2,1,-1,0,13
-2,1,0,0,3,1,13
